id,date,timestamp,title,decision,rationale,affects_issues
G-001,2026-07-04,2026-07-04 12:00:00,Flat directory structure,Keep all project files in the repository root directory with minimal exceptions (.github/ and skill-*/),Flat structures reduce navigation overhead and simplify path management in small projects,CODE_CONVENTIONS.md;DESIGN_GUIDELINES.md
G-002,2026-07-04,2026-07-04 12:00:00,Cross-repo links,Use absolute GitHub URLs for cross-repository links,Relative paths do not resolve correctly across different GitHub repositories,CODE_CONVENTIONS.md
G-003,2026-07-04,2026-07-04 12:00:00,Conventional Commits,Enforce Conventional Commits specification for git history,Standardized history enables automatic changelog generation and easier history analysis,CODE_CONVENTIONS.md
G-004,2026-07-04,2026-07-04 12:00:00,Local design and standards files,Every repository maintains its own local DESIGN_GUIDELINES.md and STANDARDS.md if required by its technologies and use cases. These files must only cover repository-specific matters and must not contain global guidelines or details from other repositories.,Repositories use different tech stacks and have different design constraints (e.g. backend microservices vs frontend web apps) so local guidelines ensure relevance and prevent document drift.,DESIGN_GUIDELINES.md;STANDARDS.md
G-005,2026-07-04,2026-07-04 12:00:00,Human-readable CSV,DECISION_LOG.csv must be saved as plain human-readable UTF-8 CSV,Encoding files in base64 or other binary formats prevents code review in diffs and corrupts git logs,DECISION_LOG.csv
G-006,2026-07-04,2026-07-04 12:00:00,Uniqueness and single-publishing of functionalities,Every use case and user story functionality must be unique without duplication and published in only one place,Avoids redundant implementations and maintains a single source of truth across repositories,DESIGN_GUIDELINES.md
G-007,2026-07-04,2026-07-04 12:00:00,Hajautettu päätösloki,Päätöslokia ylläpidetään jokaisessa varastossa itsenäisesti. Kanoniset globaalit päätökset sovitaan yhdessä organisaatiotasolla ja kirjataan kaikkiin varastoihin.,Hajautettu lokitus antaa varastoille itsenäisyyden ja estää toisten varastojen paikallisten päätösten tulvimisen muihin,DECISION_LOG.csv
G-008,2026-07-04,2026-07-04 12:00:00,Laatu syntyy dialogin kautta — ei ensimmäisestä toimivasta ideasta,"Jokainen ei-triviaali päätös vaatii eksplisiittisen analyysivaiheen: konteksti, vähintään kaksi vaihtoehtoa kustannuksineen, perustelu valitulle lähestymistavalle. Dialogi (tiketti ↔ päätösloki) on laadun mekanismi — ei byrokratia.","Projekti on osoittanut konkreettisesti että strukturoitu analyysi johtaa parempiin päätöksiin: L-002 paljasti Free-tier-rajoitteen ennen toteutusta, L-009 esti ylimääräisen GitHub Actions -workflowin, L-005 tunnisti kartoitusongelman ennen koodausta. Ilman analyysipakkoa päätökset syntyvät ensimmäisestä toimivasta ideasta — ei välttämättä parhaasta. Laatu ei tule lisätyöstä vaan kysymyksistä joita dialogi pakottaa esittämään.",DECISION_PROCESS.md
G-009,2026-07-04,2026-07-04 12:00:00,Päätöksentekoprosessin kolmivaiheinen sykli,"Kehittäminen etenee: Analyysi (tiketti) → Päätös (DECISION_LOG) → Toteutus. Kaikki kolme vaihetta ovat pakollisia. Jos toteutuksen aikana ilmenee uusi rajoite joka muuttaa päätöstä, palataan Päätös-vaiheeseen ennen jatkamista.","Kolmivaiheinen sykli estää oikosulun suoraan toteutukseen. Tiketti on ajattelun työtila (saa olla messy), loki on päätöksen single source of truth, toteutus seuraa lokia. Revisiot kirjataan uusina lokimerkintöinä — vanhoja ei ylikirjoiteta — jotta muutoshistoria säilyy.",DECISION_PROCESS.md
G-010,2026-07-05,2026-07-05 12:00:00,Persistointiarkkitehtuuri: ei state storea eikä integraatiotietokantaa,"Integraatio ei käytä erillistä state storea eikä integraatiotietokantaa. Jira ja GitHub säilyvät ainoina kanonisina totuuslähteinä. Avoimet standardit (Jira REST API, GitHub REST API) tarjoavat kaiken tarvittavan tilan suoraan APIn kautta.","Webhook-duplikaatit, retryt ja kesken jääneet operaatiot ovat teoreettinen ongelma jonka todennäköisyys reaalimaailmassa on häviävän pieni — palvelua voisi ajaa tuhat vuotta ilman että insindentti tapahtuu. Tekninen metatietovarasto lisäisi kompleksiteettia joka ei maksa itseään takaisin. Jos ongelma joskus ilmenee, siitä avataan ops-bugi aikanaan. YAGNI.",TECHNICAL_DESIGN.md; DESIGN_GUIDELINES.md
G-011,2026-07-05,2026-07-05 12:00:00,CODE_CONVENTIONS.md voi sisältää AI-spesifisiä käytäntöjä,CODE_CONVENTIONS.md saa ja sen pitää sisältää AI-agentin käyttäytymistä ohjaavia käytäntöjä koodikonventioiden rinnalla. AI-spesifiset osiot erotetaan omaksi nimetyksi osiokseen dokumentissa.,Skillsit on ohjelmoitu hyödyntämään repon speksitiedostoja kuten CODE_CONVENTIONS.md. AI-spesifiset käytännöt samassa tiedostossa varmistavat että agentti lukee ne automaattisesti ennen toimenpiteitä — erillistä AI_RULES.md-tiedostoa ei tarvita. Konventiot ja AI-ohjeet ovat luonteeltaan samaa kategoriaa: molemmat ohjaavat kehitystyön tapaa.,CODE_CONVENTIONS.md
G-012,2026-07-05,2026-07-05 12:00:00,Linter-poikkeukset dokumentoidaan paikallisina päätöksinä,Any local overrides or bypasses of static analysis/linter rules (e.g. Ruff; ESLint) must be recorded as local decisions (L-xxx) in the repository's DECISION_LOG.csv,Ensures transparency and prevents silent code quality degradation while allowing repo-specific technology constraints,DECISION_LOG.csv;CODE_CONVENTIONS.md
G-013,2026-07-25,2026-07-25 21:20:00,Firestore käyttötarkoitus,Firestore on käytössä ainoastaan frontend-käyttäjäpreferenssien monilaitesynkronointiin (uutisseuranta.github.io). Firestore ei ole backend-tietovarasto eikä se korvaa BigQuerytä datan tallennuksessa. GDPR-prosesseissa käyttäjädata poistetaan sekä BigQuerystä että Firestoresta.,Arkkitehtuurissa on kaksi eri tallennuskerrosta eri tarkoituksiin: BigQuery = aktiviteettidata (backend) ja Firestore = käyttäjäpreferenssit (frontend). Selkeä roolijako estää väärinkäsitykset GDPR-toteutuksessa ja uusien kehittäjien perehdytyksessä.,STANDARDS.md
G-014,2026-07-25,2026-07-25 23:29:00,No random or mock security tests,Security-kriittisissä autentikointi- ja deploy-testeissä ei sallita random-testitapauksia eikä mock-logiikkaa joka korvaa oikean tuotantopolun. Testien on kohdistuttava suoraan sovelluksen todelliseen koodipolkuun tai deterministiseen integraatiopintaan.,Mock- ja simulaatiotestit voivat antaa valheellisen turvallisuuden tunteen koska ne validoivat testiin kirjoitettua mallia eivätkä oikeaa tuotantokäyttäytymistä. Deterministiset testit pitävät CI-signaalin luotettavana ja reviewn auditoitavana.,#68
G-015,2026-07-26,2026-07-26 03:04:00,VPC ei käytössä,Serverless VPC Access Connectoria ei oteta käyttöön nykyisessä arkkitehtuurissa. terraform/networking.tf poistettu.,Cloud Run kommunikoi BigQueryn kanssa Private Google Access -reittiä IAM-autentikoinnilla — VPC-tunneli ei tuo lisäturvaa. Service-to-service-kutsut kulkevat Cloud Runin omaa endpointtia ja autentikoidaan IAM:lla (roles/run.invoker). Cloud SQL tai Memorystore ei ole käytössä. Connector maksaa 5–10 €/kk idle-tilassakin. Lisää connector cloudrun_services.tf:ään jos Cloud SQL tai Memorystore otetaan käyttöön.,#68
